index,date,value,amount
SET 100,2018-06-06,2542.21,3.08B
SET 100,2018-06-07,2532.24,2.56B
SET 100,2018-06-08,2510.86,1.87B
SET 100,2018-06-11,2513.04,1.38B
SET 100,2018-06-12,2520.0,1.90B
SET 100,2018-06-13,2504.58,2.14B
SET 100,2018-06-14,2488.91,2.20B
SET 100,2018-06-15,2481.53,2.21B
SET 100,2018-06-18,2441.42,2.01B
SET 100,2018-06-19,2377.58,3.71B
SET 100,2018-06-20,2418.62,2.20B
SET 100,2018-06-21,2369.84,2.17B
SET 100,2018-06-22,2373.68,2.92B
SET 100,2018-06-25,2353.52,2.28B
SET 100,2018-06-26,2359.78,2.13B
SET 100,2018-06-27,2349.63,3.27B
SET 100,2018-06-28,2323.52,2.98B
SET 100,2018-06-29,2320.82,3.13B
SET 100,2018-07-02,2339.76,3.21B
SET 100,2018-07-03,2368.74,4.47B
SET 100,2018-07-04,2374.11,3.51B
SET 100,2018-07-05,2331.83,4.01B
SET 100,2018-07-06,2352.75,3.73B
SET 100,2018-07-09,2366.75,2.48B
SET 100,2018-07-10,2400.6,2.45B
SET 100,2018-07-11,2387.04,1.73B
SET 100,2018-07-12,2391.23,2.06B
SET 100,2018-07-13,2393.33,2.58B
SET 100,2018-07-16,2369.64,1.94B
SET 100,2018-07-17,2367.09,1.95B
SET 100,2018-07-18,2385.79,1.91B
SET 100,2018-07-19,2404.23,1.95B
SET 100,2018-07-20,2444.41,3.96B
SET 100,2018-07-23,2453.31,3.12B
SET 100,2018-07-24,2451.04,3.49B
SET 100,2018-07-25,2475.9,3.25B
SET 100,2018-07-26,2494.53,2.38B
SET 100,2018-07-31,2495.73,2.44B
SET 100,2018-08-01,2529.93,2.61B
SET 100,2018-08-02,2506.53,2.16B
SET 100,2018-08-03,2511.43,1.82B
SET 100,2018-08-06,2484.97,2.34B
SET 100,2018-08-07,2502.93,1.78B
SET 100,2018-08-08,2525.48,2.16B
SET 100,2018-08-09,2526.11,1.62B
SET 100,2018-08-10,2498.7,2.33B
SET 100,2018-08-14,2485.01,2.33B
SET 100,2018-08-15,2452.61,2.83B
SET 100,2018-08-16,2461.71,2.70B
SET 100,2018-08-17,2474.51,2.17B
SET 100,2018-08-20,2493.93,2.96B
SET 100,2018-08-21,2481.8,2.11B
SET 100,2018-08-22,2489.41,1.61B
SET 100,2018-08-23,2501.16,1.74B
SET 100,2018-08-24,2498.54,1.44B
SET 100,2018-08-27,2520.48,2.25B
SET 100,2018-08-28,2522.71,2.24B
SET 100,2018-08-29,2529.73,1.60B
SET 100,2018-08-30,2522.92,2.02B
SET 100,2018-08-31,2524.74,1.75B
SET 100,2018-09-03,2522.68,1.55B
SET 100,2018-09-04,2510.49,1.75B
SET 100,2018-09-05,2465.83,2.36B
SET 100,2018-09-06,2476.99,2.46B
SET 100,2018-09-07,2469.24,1.58B
SET 100,2018-09-10,2471.3,1.39B
SET 100,2018-09-11,2437.86,1.72B
SET 100,2018-09-12,2448.71,1.59B
SET 100,2018-09-13,2516.09,2.93B
SET 100,2018-09-14,2522.25,2.10B
SET 100,2018-09-17,2515.7,1.97B
SET 100,2018-09-18,2558.65,3.76B
SET 100,2018-09-19,2568.04,5.99B
SET 100,2018-09-20,2572.49,6.04B
SET 100,2018-09-21,2579.13,4.18B
SET 100,2018-09-24,2567.04,3.05B
SET 100,2018-09-25,2567.36,2.63B
SET 100,2018-09-26,2568.27,2.48B
SET 100,2018-09-27,2574.43,3.01B
SET 100,2018-09-28,2578.35,2.37B
SET 100,2018-10-01,2583.34,3.33B
SET 100,2018-10-02,2561.9,3.15B
SET 100,2018-10-03,2552.49,2.90B
SET 100,2018-10-04,2531.87,2.97B
SET 100,2018-10-05,2516.13,1.96B
SET 100,2018-10-08,2478.4,2.78B
SET 100,2018-10-09,2480.41,1.97B
SET 100,2018-10-10,2521.47,1.78B
SET 100,2018-10-11,2457.88,3.36B
SET 100,2018-10-12,2479.09,1.84B
SET 100,2018-10-16,2480.69,1.43B
SET 100,2018-10-17,2476.75,2.12B
SET 100,2018-10-18,2457.88,1.70B
SET 100,2018-10-19,2434.98,2.17B
SET 100,2018-10-22,2423.67,1.57B
SET 100,2018-10-24,2366.35,2.34B
SET 100,2018-10-25,2401.83,2.88B
SET 100,2018-10-26,2374.16,1.40B
SET 100,2018-10-29,2387.97,1.29B
SET 100,2018-10-30,2390.35,1.35B
SET 100,2018-10-31,2443.28,1.86B
SET 100,2018-11-01,2439.17,2.06B
SET 100,2018-11-02,2461.43,2.07B
SET 100,2018-11-05,2444.53,1.28B
SET 100,2018-11-06,2442.55,1.40B
SET 100,2018-11-07,2453.82,1.60B
SET 100,2018-11-08,2464.12,1.81B
SET 100,2018-11-09,2441.47,1.50B
SET 100,2018-11-12,2420.86,1.31B
SET 100,2018-11-13,2430.97,1.88B
SET 100,2018-11-14,2418.67,1.60B
SET 100,2018-11-15,2399.13,1.96B
SET 100,2018-11-16,2393.11,1.72B
SET 100,2018-11-19,2396.88,1.32B
SET 100,2018-11-20,2360.13,1.72B
SET 100,2018-11-21,2368.59,1.92B
SET 100,2018-11-22,2348.46,1.70B
SET 100,2018-11-23,2376.49,1.34B
SET 100,2018-11-26,2391.89,1.40B
SET 100,2018-11-27,2397.2,1.42B
SET 100,2018-11-28,2406.91,1.41B
SET 100,2018-11-29,2401.14,1.53B
SET 100,2018-11-30,2409.21,1.65B
SET 100,2018-12-03,2465.17,2.39B
SET 100,2018-12-04,2466.17,1.72B
SET 100,2018-12-06,2435.17,1.56B
SET 100,2018-12-07,2427.79,1.39B
SET 100,2018-12-11,2399.13,1.74B
SET 100,2018-12-12,2402.04,1.27B
SET 100,2018-12-13,2369.2,1.77B
SET 100,2018-12-14,2361.25,1.47B
SET 100,2018-12-17,2352.17,1.61B
SET 100,2018-12-18,2324.48,1.53B
SET 100,2018-12-19,2353.43,1.83B
SET 100,2018-12-20,2345.88,1.42B
SET 100,2018-12-21,2345.91,1.97B
SET 100,2018-12-24,2339.72,1.27B
SET 100,2018-12-25,2284.21,1.78B
SET 100,2018-12-26,2285.55,1.34B
SET 100,2018-12-27,2269.94,2.10B
SET 100,2018-12-28,2293.11,1.65B
SET 100,2019-01-02,2297.28,1.39B
SET 100,2019-01-03,2286.56,1.56B
SET 100,2019-01-04,2313.22,2.17B
SET 100,2019-01-07,2342.71,2.11B
SET 100,2019-01-08,2343.15,1.35B
SET 100,2019-01-09,2338.13,1.93B
SET 100,2019-01-10,2333.95,2.01B
SET 100,2019-01-11,2347.64,1.67B
SET 100,2019-01-14,2322.79,1.50B
SET 100,2019-01-15,2312.6,1.26B
SET 100,2019-01-16,2314.64,2.35B
SET 100,2019-01-17,2318.6,1.87B
SET 100,2019-01-18,2323.69,1.63B
SET 100,2019-01-21,2331.71,1.51B
SET 100,2019-01-22,2354.34,1.77B
SET 100,2019-01-23,2377.71,3.00B
SET 100,2019-01-24,2380.28,2.52B
SET 100,2019-01-25,2385.83,2.06B
SET 100,2019-01-28,2386.72,2.24B
SET 100,2019-01-29,2386.18,2.07B
SET 100,2019-01-30,2397.96,1.79B
SET 100,2019-01-31,2411.25,2.27B
SET 100,2019-02-01,2426.47,1.63B
SET 100,2019-02-04,2429.06,1.18B
SET 100,2019-02-05,2428.2,1.17B
SET 100,2019-02-06,2435.25,1.42B
SET 100,2019-02-07,2427.79,1.54B
SET 100,2019-02-08,2425.61,2.39B
SET 100,2019-02-11,2403.36,1.40B
SET 100,2019-02-12,2409.33,1.31B
SET 100,2019-02-13,2431.9,1.61B
SET 100,2019-02-14,2425.84,1.82B
SET 100,2019-02-15,2399.38,1.87B
SET 100,2019-02-18,2397.33,1.16B
SET 100,2019-02-20,2413.94,1.48B
SET 100,2019-02-21,2416.73,1.46B
SET 100,2019-02-22,2436.52,1.69B
SET 100,2019-02-25,2457.57,2.09B
SET 100,2019-02-26,2443.33,2.38B
SET 100,2019-02-27,2446.6,2.41B
SET 100,2019-02-28,2425.16,2.07B
SET 100,2019-03-01,2405.95,2.28B
SET 100,2019-03-04,2395.86,1.65B
SET 100,2019-03-05,2401.49,1.45B
SET 100,2019-03-06,2379.17,1.75B
SET 100,2019-03-07,2392.53,1.58B
SET 100,2019-03-08,2386.43,1.24B
SET 100,2019-03-11,2380.07,1.07B
SET 100,2019-03-12,2380.12,1.76B
SET 100,2019-03-13,2400.48,1.59B
SET 100,2019-03-14,2395.5,2.27B
SET 100,2019-03-15,2380.23,1.94B
SET 100,2019-03-18,2367.28,1.66B
SET 100,2019-03-19,2388.01,1.24B
SET 100,2019-03-20,2383.74,1.26B
SET 100,2019-03-21,2395.5,1.47B
SET 100,2019-03-22,2418.15,1.51B
SET 100,2019-03-25,2384.14,1.60B
SET 100,2019-03-26,2395.02,1.33B
SET 100,2019-03-27,2388.53,1.61B
SET 100,2019-03-28,2395.51,1.40B
SET 100,2019-03-29,2401.55,1.31B
SET 100,2019-04-01,2412.1,1.62B
SET 100,2019-04-02,2423.57,1.41B
SET 100,2019-04-03,2419.8,1.63B
SET 100,2019-04-04,2411.09,1.22B
SET 100,2019-04-05,2413.92,1.04B
SET 100,2019-04-09,2434.16,1.33B
SET 100,2019-04-10,2441.85,1.67B
SET 100,2019-04-11,2435.43,1.61B
SET 100,2019-04-12,2436.8,1.33B
SET 100,2019-04-17,2455.97,1.97B
SET 100,2019-04-18,2460.21,1.78B
SET 100,2019-04-19,2458.75,1.41B
SET 100,2019-04-22,2459.28,1.74B
SET 100,2019-04-23,2454.82,1.58B
SET 100,2019-04-24,2458.54,1.49B
SET 100,2019-04-25,2456.97,1.17B
SET 100,2019-04-26,2446.3,1.52B
SET 100,2019-04-29,2445.34,1.52B
SET 100,2019-04-30,2458.06,1.60B
SET 100,2019-05-02,2467.76,1.55B
SET 100,2019-05-03,2468.28,1.78B
SET 100,2019-05-07,2451.69,2.08B
SET 100,2019-05-08,2427.15,2.51B
SET 100,2019-05-09,2414.63,1.68B
SET 100,2019-05-10,2418.46,2.01B
SET 100,2019-05-13,2406.23,1.85B
SET 100,2019-05-14,2397.57,2.71B
SET 100,2019-05-15,2378.73,2.13B
SET 100,2019-05-16,2367.81,2.58B
SET 100,2019-05-17,2355.8,1.92B
SET 100,2019-05-21,2360.55,2.16B
SET 100,2019-05-22,2387.91,1.93B
SET 100,2019-05-23,2359.77,1.96B
SET 100,2019-05-24,2365.25,1.84B
SET 100,2019-05-27,2381.69,1.80B
SET 100,2019-05-28,2396.62,6.15B
SET 100,2019-05-29,2375.33,2.06B
SET 100,2019-05-30,2380.36,1.57B
SET 100,2019-05-31,2377.12,1.99B
SET 100,2019-06-04,2406.78,2.47B
SET 100,2019-06-05,2423.48,2.39B
SET 100,2019-06-06,2429.53,1.86B
SET 100,2019-06-07,2427.26,1.44B
SET 100,2019-06-10,2445.71,1.75B
SET 100,2019-06-11,2455.33,1.96B
SET 100,2019-06-12,2453.73,2.09B
SET 100,2019-06-13,2456.89,2.25B
SET 100,2019-06-14,2453.31,2.02B
SET 100,2019-06-17,2445.42,2.84B
SET 100,2019-06-18,2474.04,2.44B
SET 100,2019-06-19,2512.62,3.58B
SET 100,2019-06-20,2532.36,2.87B
SET 100,2019-06-21,2527.36,3.67B
SET 100,2019-06-24,2525.71,2.04B
SET 100,2019-06-25,2535.07,2.48B
SET 100,2019-06-26,2534.88,2.22B
SET 100,2019-06-27,2550.03,2.73B
SET 100,2019-06-28,2546.22,2.17B
SET 100,2019-07-01,2564.91,2.36B
SET 100,2019-07-02,2548.75,2.17B
SET 100,2019-07-03,2555.98,2.62B
SET 100,2019-07-04,2531.33,3.43B
SET 100,2019-07-05,2541.72,2.46B
SET 100,2019-07-08,2538.21,2.06B
SET 100,2019-07-09,2519.06,2.60B
SET 100,2019-07-10,2549.75,2.69B
SET 100,2019-07-11,2548.83,2.97B
SET 100,2019-07-12,2535.51,3.37B
SET 100,2019-07-15,2533.15,2.56B
SET 100,2019-07-17,2523.95,2.91B
SET 100,2019-07-18,2528.85,1.92B
SET 100,2019-07-19,2546.55,2.45B
SET 100,2019-07-22,2530.87,2.54B
SET 100,2019-07-23,2527.19,3.27B
SET 100,2019-07-24,2525.07,2.32B
SET 100,2019-07-25,2532.25,2.18B
SET 100,2019-07-26,2510.25,2.34B
SET 100,2019-07-30,2495.67,1.95B
SET 100,2019-07-31,2505.76,1.73B
SET 100,2019-08-01,2486.96,2.11B
SET 100,2019-08-02,2462.03,2.99B
SET 100,2019-08-05,2430.3,1.63B
SET 100,2019-08-06,2439.81,2.57B
SET 100,2019-08-07,2436.73,2.77B
SET 100,2019-08-08,2427.87,2.04B
SET 100,2019-08-09,2405.17,2.30B
SET 100,2019-08-13,2355.84,2.40B
SET 100,2019-08-14,2357.36,2.67B
SET 100,2019-08-15,2335.62,3.56B
SET 100,2019-08-16,2379.08,2.42B
SET 100,2019-08-19,2387.99,2.39B
SET 100,2019-08-20,2367.37,2.09B
SET 100,2019-08-21,2390.14,1.94B
SET 100,2019-08-22,2383.46,2.51B
SET 100,2019-08-23,2406.15,2.09B
SET 100,2019-08-26,2367.14,2.47B
SET 100,2019-08-27,2353.67,2.74B
SET 100,2019-08-28,2357.06,1.74B
SET 100,2019-08-29,2396.04,2.26B
SET 100,2019-08-30,2423.44,2.27B
SET 100,2019-09-02,2420.85,1.90B
SET 100,2019-09-03,2400.58,2.00B
SET 100,2019-09-04,2429.62,2.16B
SET 100,2019-09-05,2448.85,1.97B
SET 100,2019-09-06,2448.89,1.56B
SET 100,2019-09-09,2450.79,1.77B
SET 100,2019-09-10,2443.8,2.00B
SET 100,2019-09-11,2460.53,2.59B
SET 100,2019-09-12,2436.35,2.63B
SET 100,2019-09-13,2437.4,2.31B
SET 100,2019-09-16,2439.94,1.95B
SET 100,2019-09-17,2442.14,2.44B
SET 100,2019-09-18,2425.59,2.11B
SET 100,2019-09-19,2401.68,2.39B
SET 100,2019-09-20,2396.38,2.47B
SET 100,2019-09-23,2374.28,1.76B
SET 100,2019-09-24,2387.58,2.25B
SET 100,2019-09-25,2382.8,1.90B
SET 100,2019-09-26,2398.38,1.83B
SET 100,2019-09-27,2411.31,1.65B
SET 100,2019-09-30,2400.84,1.56B
SET 100,2019-10-01,2378.91,1.37B
SET 100,2019-10-02,2361.92,1.29B
SET 100,2019-10-03,2357.87,1.19B
SET 100,2019-10-04,2351.32,1.26B
SET 100,2019-10-07,2364.98,1.30B
SET 100,2019-10-08,2362.04,1.24B
SET 100,2019-10-09,2370.9,1.26B
SET 100,2019-10-10,2353.98,1.38B
SET 100,2019-10-11,2387.18,1.86B
SET 100,2019-10-15,2389.53,1.60B
SET 100,2019-10-16,2402.36,2.31B
SET 100,2019-10-17,2400.11,2.22B
SET 100,2019-10-18,2396.43,2.42B
SET 100,2019-10-21,2379.44,1.72B
SET 100,2019-10-22,2397.76,1.45B
SET 100,2019-10-24,2383.98,2.29B
SET 100,2019-10-25,2341.7,2.51B
SET 100,2019-10-28,2350.43,1.69B
SET 100,2019-10-29,2341.33,1.64B
SET 100,2019-10-30,2361.23,1.97B
SET 100,2019-10-31,2357.61,1.82B
SET 100,2019-11-01,2344.43,1.87B
SET 100,2019-11-04,2396.76,2.84B
SET 100,2019-11-05,2405.5,2.18B
SET 100,2019-11-06,2399.67,2.07B
SET 100,2019-11-07,2429.15,2.11B
SET 100,2019-11-08,2424.4,1.90B
SET 100,2019-11-11,2399.43,1.99B
SET 100,2019-11-12,2404.57,1.53B
SET 100,2019-11-13,2386.49,1.70B
SET 100,2019-11-14,2379.09,1.99B
SET 100,2019-11-15,2369.79,2.95B
SET 100,2019-11-18,2379.7,1.97B
SET 100,2019-11-19,2377.18,1.92B
SET 100,2019-11-20,2359.15,2.29B
SET 100,2019-11-21,2352.75,2.39B
SET 100,2019-11-22,2362.57,1.92B
SET 100,2019-11-25,2390.39,2.30B
SET 100,2019-11-26,2379.61,3.69B
SET 100,2019-11-27,2378.94,2.70B
SET 100,2019-11-28,2363.08,2.20B
SET 100,2019-11-29,2349.32,2.25B
SET 100,2019-12-02,2315.59,1.83B
SET 100,2019-12-03,2314.38,1.75B
SET 100,2019-12-04,2311.64,2.05B
SET 100,2019-12-06,2302.17,1.60B
SET 100,2019-12-09,2297.62,1.80B
SET 100,2019-12-11,2299.91,1.98B
SET 100,2019-12-12,2321.8,2.12B
SET 100,2019-12-13,2340.75,2.13B
SET 100,2019-12-16,2300.78,1.42B
SET 100,2019-12-17,2301.66,2.47B
SET 100,2019-12-18,2327.73,2.15B
SET 100,2019-12-19,2341.4,3.36B
SET 100,2019-12-20,2338.17,2.41B
SET 100,2019-12-23,2340.28,2.04B
SET 100,2019-12-24,2331.24,1.59B
SET 100,2019-12-25,2337.13,909.04M
SET 100,2019-12-26,2344.83,1.27B
SET 100,2019-12-27,2342.05,1.49B
SET 100,2019-12-30,2342.21,1.15B
SET 100,2020-01-02,2368.91,2.38B
SET 100,2020-01-03,2365.86,2.17B
SET 100,2020-01-06,2325.75,2.89B
SET 100,2020-01-07,2351.25,2.29B
SET 100,2020-01-08,2309.88,2.63B
SET 100,2020-01-09,2341.48,2.42B
SET 100,2020-01-10,2341.72,1.73B
SET 100,2020-01-13,2348.98,1.76B
SET 100,2020-01-14,2349.12,1.93B
SET 100,2020-01-15,2336.78,1.98B
SET 100,2020-01-16,2360.09,1.97B
SET 100,2020-01-17,2366.43,2.02B
SET 100,2020-01-20,2345.03,1.96B
SET 100,2020-01-21,2321.83,2.51B
SET 100,2020-01-22,2321.48,2.51B
SET 100,2020-01-23,2320.9,2.07B
SET 100,2020-01-24,2315.58,1.52B
SET 100,2020-01-27,2238.95,2.73B
SET 100,2020-01-28,2222.63,2.25B
SET 100,2020-01-29,2243.29,2.01B
SET 100,2020-01-30,2240.05,1.76B
SET 100,2020-01-31,2225.62,1.90B
SET 100,2020-02-03,2198.82,1.88B
SET 100,2020-02-04,2237.92,2.28B
SET 100,2020-02-05,2259.9,2.46B
SET 100,2020-02-06,2259.86,2.42B
SET 100,2020-02-07,2257.67,2.00B
SET 100,2020-02-11,2238.11,1.87B
SET 100,2020-02-12,2265.29,1.94B
SET 100,2020-02-13,2251.1,1.50B
SET 100,2020-02-14,2241.63,2.08B
SET 100,2020-02-17,2249.17,1.45B
SET 100,2020-02-18,2226.94,1.49B
SET 100,2020-02-19,2216.85,2.00B
SET 100,2020-02-20,2193.65,2.18B
SET 100,2020-02-21,2201.09,1.95B
SET 100,2020-02-24,2109.99,2.56B
SET 100,2020-02-25,2120.87,2.93B
SET 100,2020-02-26,2009.72,3.75B
SET 100,2020-02-27,2056.39,2.76B
SET 100,2020-02-28,1969.26,2.96B
SET 100,2020-03-02,1966.02,2.71B
SET 100,2020-03-03,2030.75,2.64B
SET 100,2020-03-04,2033.22,2.02B
SET 100,2020-03-05,2048.82,2.37B
SET 100,2020-03-06,2004.37,1.96B
SET 100,2020-03-09,1822.83,4.08B
SET 100,2020-03-10,1848.86,2.91B
SET 100,2020-03-11,1813.25,2.62B
SET 100,2020-03-12,1599.98,4.64B
SET 100,2020-03-13,1641.89,5.54B
SET 100,2020-03-16,1511.41,3.37B
SET 100,2020-03-17,1494.37,3.10B
SET 100,2020-03-18,1515.84,2.86B
SET 100,2020-03-19,1512.46,2.99B
SET 100,2020-03-20,1651.4,4.43B
SET 100,2020-03-23,1484.85,3.06B
SET 100,2020-03-24,1505.34,3.15B
SET 100,2020-03-25,1583.89,3.35B
SET 100,2020-03-26,1603.71,2.96B
SET 100,2020-03-27,1610.9,3.15B
SET 100,2020-03-30,1589.79,1.89B
SET 100,2020-03-31,1648.71,3.15B
SET 100,2020-04-01,1614.84,2.92B
SET 100,2020-04-02,1672.52,5.10B
SET 100,2020-04-03,1671.79,4.68B
SET 100,2020-04-07,1798.92,4.38B
SET 100,2020-04-08,1780.5,3.88B
SET 100,2020-04-09,1785.34,3.96B
SET 100,2020-04-10,1812.02,2.63B
SET 100,2020-04-13,1823.12,2.57B
SET 100,2020-04-14,1851.77,3.81B
SET 100,2020-04-15,1815.18,3.16B
SET 100,2020-04-16,1755.73,2.92B
SET 100,2020-04-17,1823.48,2.68B
SET 100,2020-04-20,1868.81,3.11B
SET 100,2020-04-21,1843.07,2.91B
SET 100,2020-04-22,1856.46,3.00B
SET 100,2020-04-23,1869.26,2.91B
SET 100,2020-04-24,1843.41,2.95B
SET 100,2020-04-27,1857.04,1.69B
SET 100,2020-04-28,1869.96,2.52B
SET 100,2020-04-29,1879.33,2.75B
SET 100,2020-04-30,1913.35,3.59B
SET 100,2020-05-05,1876.24,2.76B
SET 100,2020-05-07,1845.47,3.18B
SET 100,2020-05-08,1858.03,2.26B
SET 100,2020-05-11,1891.72,2.70B
SET 100,2020-05-12,1911.06,2.77B
SET 100,2020-05-13,1900.8,3.03B
SET 100,2020-05-14,1876.37,2.91B
SET 100,2020-05-15,1875.19,2.47B
SET 100,2020-05-18,1885.02,2.96B
SET 100,2020-05-19,1922.6,3.87B
SET 100,2020-05-20,1941.71,3.94B
SET 100,2020-05-21,1939.5,3.88B
SET 100,2020-05-22,1911.21,3.74B
SET 100,2020-05-25,1936.7,4.54B
SET 100,2020-05-26,1960.27,5.65B
SET 100,2020-05-27,1974.78,4.74B
SET 100,2020-05-28,1960.86,4.18B
SET 100,2020-05-29,1974.61,5.83B
SET 100,2020-06-01,1988.88,5.44B
SET 100,2020-06-02,2026.48,5.00B
SET 100,2020-06-04,2084.3,6.66B
SET 100,2020-06-05,2124.48,5.74B
SET 100,2020-06-08,2125.35,5.82B
SET 100,2020-06-09,2074.03,5.60B
SET 100,2020-06-10,2092.39,3.88B
SET 100,2020-06-11,2055.15,7.77B
SET 100,2020-06-12,2032.0,8.69B
SET 100,2020-06-15,1963.91,6.45B
SET 100,2020-06-16,2006.81,6.76B
SET 100,2020-06-17,2020.42,5.07B
SET 100,2020-06-18,2013.38,5.86B
SET 100,2020-06-19,2007.45,3.50B
SET 100,2020-06-22,1977.83,3.45B
SET 100,2020-06-23,1985.42,2.89B
SET 100,2020-06-24,1948.06,3.73B
SET 100,2020-06-25,1937.53,3.70B
SET 100,2020-06-26,1943.9,2.46B
SET 100,2020-06-29,1944.37,2.50B
SET 100,2020-06-30,1959.01,2.94B
SET 100,2020-07-01,1976.29,3.27B
SET 100,2020-07-02,2018.61,3.23B
SET 100,2020-07-03,2013.48,4.92B
SET 100,2020-07-07,2012.33,5.61B
SET 100,2020-07-08,1992.36,2.94B
SET 100,2020-07-09,1996.13,3.18B
SET 100,2020-07-10,1967.56,2.75B
SET 100,2020-07-13,1953.5,3.44B
SET 100,2020-07-14,1952.19,2.80B
SET 100,2020-07-15,1975.39,2.62B
SET 100,2020-07-16,1962.9,1.88B
SET 100,2020-07-17,1982.12,2.16B
SET 100,2020-07-20,1979.01,2.15B
SET 100,2020-07-21,2009.29,2.86B
SET 100,2020-07-22,1975.74,2.78B
SET 100,2020-07-23,1978.87,2.57B
SET 100,2020-07-24,1947.28,2.22B
SET 100,2020-07-29,1938.38,2.21B
SET 100,2020-07-30,1899.86,3.79B
SET 100,2020-07-31,1922.18,2.84B
SET 100,2020-08-03,1903.83,2.22B
SET 100,2020-08-04,1922.08,2.40B
SET 100,2020-08-05,1932.47,2.50B
SET 100,2020-08-06,1927.78,2.46B
SET 100,2020-08-07,1912.99,1.84B
SET 100,2020-08-10,1908.57,1.35B
SET 100,2020-08-11,1933.27,3.14B
SET 100,2020-08-13,1953.18,3.45B
SET 100,2020-08-14,1922.55,2.33B
SET 100,2020-08-17,1916.38,2.18B
SET 100,2020-08-18,1931.22,2.23B
SET 100,2020-08-19,1894.14,3.22B
SET 100,2020-08-20,1873.29,2.12B
SET 100,2020-08-21,1874.74,1.65B
SET 100,2020-08-24,1903.44,2.37B
SET 100,2020-08-25,1904.09,2.43B
SET 100,2020-08-26,1912.29,2.10B
SET 100,2020-08-27,1918.32,2.30B
SET 100,2020-08-28,1910.78,2.27B
SET 100,2020-08-31,1888.52,2.41B
SET 100,2020-09-01,1880.34,2.01B
SET 100,2020-09-02,1894.66,1.69B
SET 100,2020-09-03,1888.31,1.67B
SET 100,2020-09-08,1861.17,1.85B
SET 100,2020-09-09,1858.8,2.18B
SET 100,2020-09-10,1854.88,2.33B
SET 100,2020-09-11,1837.44,2.68B
SET 100,2020-09-14,1825.0,1.87B
SET 100,2020-09-15,1845.89,2.09B
SET 100,2020-09-16,1857.82,2.26B
SET 100,2020-09-17,1842.24,2.34B
SET 100,2020-09-18,1847.55,2.50B
SET 100,2020-09-21,1824.0,2.01B
SET 100,2020-09-22,1808.85,1.80B
SET 100,2020-09-23,1799.09,2.28B
SET 100,2020-09-24,1768.11,2.51B
SET 100,2020-09-25,1764.58,1.90B
SET 100,2020-09-28,1798.11,1.67B
SET 100,2020-09-29,1785.99,1.66B
SET 100,2020-09-30,1752.71,2.02B
SET 100,2020-10-01,1768.87,2.15B
SET 100,2020-10-02,1746.91,2.29B
SET 100,2020-10-05,1756.81,1.75B
SET 100,2020-10-06,1769.6,2.61B
SET 100,2020-10-07,1791.88,2.43B
SET 100,2020-10-08,1807.76,3.35B
SET 100,2020-10-09,1796.99,2.52B
SET 100,2020-10-12,1805.96,2.07B
SET 100,2020-10-14,1787.92,2.35B
SET 100,2020-10-15,1757.31,2.60B
SET 100,2020-10-16,1744.39,2.17B
SET 100,2020-10-19,1708.0,2.36B
SET 100,2020-10-20,1709.89,1.99B
SET 100,2020-10-21,1720.22,2.15B
SET 100,2020-10-22,1716.16,2.37B
SET 100,2020-10-26,1705.63,1.48B
SET 100,2020-10-27,1707.96,1.85B
SET 100,2020-10-28,1704.23,2.24B
SET 100,2020-10-29,1693.32,1.99B
SET 100,2020-10-30,1682.72,2.22B
SET 100,2020-11-02,1693.19,2.08B
SET 100,2020-11-03,1726.5,2.59B
SET 100,2020-11-04,1724.65,2.45B
SET 100,2020-11-05,1796.18,3.55B
SET 100,2020-11-06,1790.47,3.32B
SET 100,2020-11-09,1834.32,3.83B
SET 100,2020-11-10,1944.93,7.62B
SET 100,2020-11-11,1951.97,4.88B
SET 100,2020-11-12,1932.44,3.52B
SET 100,2020-11-13,1949.24,5.02B
SET 100,2020-11-16,1955.67,3.96B
SET 100,2020-11-17,1952.02,4.51B
SET 100,2020-11-18,1977.56,2.93B
SET 100,2020-11-19,1981.06,3.25B
SET 100,2020-11-20,2013.16,4.61B
SET 100,2020-11-23,2062.78,6.88B
SET 100,2020-11-24,2030.61,5.98B
SET 100,2020-11-25,2054.83,5.19B
SET 100,2020-11-26,2076.01,3.36B
SET 100,2020-11-27,2078.38,3.81B
SET 100,2020-11-30,2028.65,8.12B
SET 100,2020-12-01,2050.63,4.46B
SET 100,2020-12-02,2045.74,4.05B
SET 100,2020-12-03,2076.01,4.18B
SET 100,2020-12-04,2094.34,5.10B
SET 100,2020-12-08,2129.41,7.80B
SET 100,2020-12-09,2131.9,6.52B
SET 100,2020-12-14,2111.04,5.67B
SET 100,2020-12-15,2114.59,5.42B
SET 100,2020-12-16,2121.15,9.16B
SET 100,2020-12-17,2120.24,16.85B
SET 100,2020-12-18,2116.85,5.13B
SET 100,2020-12-21,1992.04,8.02B
SET 100,2020-12-22,2023.51,5.82B
SET 100,2020-12-23,2000.37,5.42B
SET 100,2020-12-24,2036.57,5.24B
SET 100,2020-12-25,2056.64,4.61B
SET 100,2020-12-28,2026.21,4.49B
SET 100,2020-12-29,2066.08,3.32B
SET 100,2020-12-30,2037.03,4.31B
SET 100,2021-01-04,2068.37,4.71B
SET 100,2021-01-05,2132.34,6.04B
SET 100,2021-01-06,2105.23,7.71B
SET 100,2021-01-07,2137.38,7.77B
SET 100,2021-01-08,2178.64,5.92B
SET 100,2021-01-11,2175.1,3.82B
SET 100,2021-01-12,2178.47,3.24B
