"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2022","301.33","299.90","302.48","299.79","93.88K","0.48%"
"08/05/2022","299.90","297.73","300.26","296.44","91.27K","0.73%"
"08/04/2022","297.73","298.11","300.28","296.89","91.57K","-0.13%"
"08/03/2022","298.11","295.84","298.11","295.17","85.23K","0.77%"
"08/02/2022","295.84","294.62","297.62","293.99","106.78K","0.41%"
"08/01/2022","294.62","287.68","294.62","287.68","79.72K","2.08%"
"07/29/2022","288.61","289.84","291.82","288.37","62.18K","-0.42%"
"07/28/2022","289.84","284.55","291.97","284.55","77.99K","1.87%"
"07/27/2022","284.52","282.88","284.57","280.72","45.46K","0.58%"
"07/26/2022","282.88","285.38","286.54","282.75","42.01K","-0.88%"
"07/25/2022","285.38","288.83","288.89","284.00","58.82K","-1.19%"
"07/22/2022","288.83","288.11","290.53","288.11","60.10K","0.26%"
"07/21/2022","288.09","288.87","289.61","287.44","62.54K","-0.27%"
"07/20/2022","288.87","284.43","289.86","284.43","87.34K","1.56%"
"07/19/2022","284.43","286.19","286.84","280.10","60.23K","-0.07%"
"07/18/2022","284.63","284.71","287.32","283.98","56.96K","0.08%"
"07/15/2022","284.40","284.96","287.74","284.40","64.23K","-0.12%"
"07/14/2022","284.75","281.33","285.03","280.03","69.33K","1.20%"
"07/13/2022","281.36","281.99","284.24","280.50","57.73K","-0.22%"
"07/12/2022","281.99","276.08","282.23","275.77","58.32K","1.83%"
"07/11/2022","276.93","276.34","278.85","274.23","56.37K","-0.31%"
"07/08/2022","277.80","271.86","277.87","271.86","51.72K","2.18%"
"07/07/2022","271.86","271.92","272.66","268.21","40.48K","-0.02%"
"07/06/2022","271.92","277.48","277.48","271.92","62.46K","-2.17%"
"07/05/2022","277.94","281.23","282.33","277.37","56.27K","-1.16%"
"07/04/2022","281.19","278.88","283.45","278.82","46.89K","0.83%"
"07/01/2022","278.88","277.68","280.10","269.21","73.86K","0.43%"
"06/30/2022","277.68","282.19","284.49","277.61","55.64K","-1.65%"
"06/29/2022","282.35","283.87","285.56","279.84","50.94K","-0.54%"
"06/28/2022","283.87","278.87","284.97","278.87","63.12K","1.23%"
"06/27/2022","280.42","276.13","281.56","275.93","49.40K","1.63%"
"06/24/2022","275.93","277.07","279.50","275.58","54.94K","-0.45%"
"06/23/2022","277.18","269.41","277.18","268.53","49.62K","2.89%"
"06/22/2022","269.39","264.13","270.03","262.48","69.46K","1.80%"
"06/21/2022","264.62","267.27","269.42","263.39","75.63K","-1.23%"
"06/20/2022","267.92","279.82","282.32","267.90","74.94K","-4.33%"
"06/17/2022","280.06","287.77","289.85","279.16","80.54K","-2.68%"
"06/16/2022","287.77","283.27","290.45","282.99","61.79K","1.60%"
"06/15/2022","283.25","290.08","292.85","280.54","69.35K","-2.35%"
"06/14/2022","290.08","288.37","292.26","284.34","63.16K","0.59%"
"06/13/2022","288.37","306.16","306.16","288.20","98.11K","-5.90%"
"06/10/2022","306.44","312.74","313.50","306.44","86.92K","-2.01%"
"06/09/2022","312.74","310.93","313.45","310.69","51.19K","0.58%"
"06/08/2022","310.93","304.15","312.54","304.10","76.47K","2.23%"
"06/07/2022","304.15","306.81","306.85","298.70","99.22K","-0.87%"
"06/06/2022","306.81","310.48","312.34","306.81","79.24K","-1.18%"
"06/03/2022","310.48","311.77","312.85","306.31","65.19K","-0.41%"
"06/02/2022","311.77","315.37","315.92","309.64","87.85K","-1.14%"
"06/01/2022","315.37","315.64","316.57","311.48","69.93K","-0.12%"
"05/31/2022","315.76","312.77","315.76","310.96","84.06K","0.96%"
"05/30/2022","312.77","311.17","315.62","309.38","81.37K","0.51%"
"05/27/2022","311.17","312.95","314.19","311.16","70.08K","-0.68%"
"05/26/2022","313.29","314.89","315.89","311.17","81.38K","-0.51%"
"05/25/2022","314.91","305.96","315.39","305.96","91.11K","2.93%"
"05/24/2022","305.96","300.69","305.96","296.40","76.60K","1.76%"
"05/23/2022","300.66","307.05","310.90","299.08","73.28K","-2.07%"
"05/20/2022","307.02","308.02","310.88","305.27","70.13K","-0.32%"
"05/19/2022","308.02","309.20","309.63","301.84","74.50K","-0.59%"
