"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2020","251.44","255.60","255.87","251.05","1.26B","-1.38%"
"05/05/2020","254.97","254.41","256.62","253.88","924.58M","-0.48%"
"04/30/2020","256.19","255.71","257.13","254.96","551.14M","0.57%"
"04/29/2020","254.73","252.84","255.34","252.81","447.04M","0.83%"
"04/28/2020","252.64","253.40","254.15","251.91","615.00M","0.01%"
"04/27/2020","252.61","250.63","252.98","249.39","711.03M","1.68%"
"04/24/2020","248.44","249.55","250.49","247.00","740.67M","-0.22%"
"04/23/2020","248.99","248.04","249.96","247.44","826.93M","0.78%"
"04/22/2020","247.06","245.93","247.23","243.59","647.56M","0.66%"
"04/21/2020","245.43","243.70","246.85","242.61","649.76M","0.36%"
"04/20/2020","244.54","240.53","244.72","240.04","423.30M","1.73%"
"04/17/2020","240.38","238.67","240.38","237.33","643.57M","1.50%"
"04/16/2020","236.82","240.60","241.08","235.64","554.78M","-1.78%"
"04/15/2020","241.11","242.61","245.15","240.94","792.40M","-0.39%"
"04/14/2020","242.05","242.71","245.19","240.25","617.21M","0.74%"
"04/13/2020","240.28","238.19","240.28","237.09","618.71M","1.62%"
"04/10/2020","236.46","233.69","236.48","233.54","488.87M","1.82%"
"04/09/2020","232.23","231.59","236.22","230.90","1.20B","1.12%"
"04/08/2020","229.66","228.99","230.66","228.38","433.46M","0.51%"
"04/07/2020","228.49","222.51","228.90","222.51","1.08B","3.76%"
"04/03/2020","220.22","218.57","220.22","217.82","329.98M","1.30%"
"04/02/2020","217.40","215.88","217.40","215.09","348.31M","0.78%"
"04/01/2020","215.72","216.28","218.00","215.02","567.21M","-0.15%"
"03/31/2020","216.05","213.56","217.24","213.55","314.18M","1.84%"
"03/30/2020","212.14","213.80","213.87","211.28","202.38M","-1.15%"
"03/27/2020","214.60","214.87","217.05","213.89","424.46M","0.25%"
"03/26/2020","214.07","213.13","214.21","212.26","237.02M","0.47%"
