"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2019","865.65","865.54","869.96","863.31","77.81K","0.01%"
"08/16/2019","865.53","862.95","872.25","859.72","116.68K","0.30%"
"08/15/2019","862.96","853.80","862.96","842.00","97.83K","1.07%"
"08/14/2019","853.84","851.92","860.07","851.92","91.03K","0.23%"
"08/13/2019","851.92","857.70","857.70","849.43","107.00K","-0.67%"
"08/12/2019","857.70","855.53","858.53","854.31","92.80K","0.25%"
"08/09/2019","855.57","853.54","858.10","852.84","100.68K","0.24%"
"08/08/2019","853.55","845.24","854.56","844.16","118.42K","0.98%"
"08/07/2019","845.24","844.14","849.95","841.34","94.76K","0.13%"
"08/06/2019","844.14","849.89","849.89","836.11","124.76K","-0.70%"
"08/05/2019","850.11","864.01","864.01","850.11","107.17K","-1.61%"
"08/02/2019","864.02","867.13","867.13","857.62","104.33K","-0.36%"
"08/01/2019","867.13","861.33","867.13","860.38","93.68K","0.67%"
"07/31/2019","861.32","855.28","864.06","851.93","91.70K","0.71%"
"07/30/2019","855.28","866.34","870.20","855.28","94.94K","-1.28%"
"07/29/2019","866.33","865.82","868.21","859.64","81.64K","0.06%"
"07/26/2019","865.82","868.67","870.01","864.43","83.53K","-0.33%"
"07/25/2019","868.67","865.24","871.12","863.18","99.00K","0.40%"
"07/24/2019","865.21","865.33","869.63","863.00","90.46K","0.02%"
"07/23/2019","865.08","857.06","865.73","856.07","92.35K","0.93%"
"07/22/2019","857.07","859.02","861.74","855.74","95.69K","-0.23%"
"07/19/2019","859.02","850.64","859.73","850.64","116.39K","0.99%"
"07/18/2019","850.64","857.39","857.39","850.23","83.80K","-0.79%"
"07/17/2019","857.45","857.26","860.06","855.22","107.34K","0.02%"
"07/16/2019","857.26","850.81","857.64","850.81","98.32K","0.76%"
"07/15/2019","850.81","853.18","854.09","848.40","82.08K","-0.26%"
"07/12/2019","852.99","856.73","859.78","852.50","90.22K","-0.44%"
"07/11/2019","856.75","854.54","858.45","854.54","90.77K","0.26%"
"07/10/2019","854.55","851.61","856.34","851.60","82.00K","0.35%"
"07/09/2019","851.61","849.98","851.82","846.63","84.20K","0.19%"
"07/08/2019","849.97","858.34","858.34","847.32","86.98K","-0.98%"
"07/05/2019","858.34","856.74","858.77","854.21","83.84K","0.19%"
"07/04/2019","856.73","846.89","856.73","846.89","96.99K","1.16%"
"07/03/2019","846.89","848.92","848.92","843.13","77.73K","-0.24%"
"07/02/2019","848.92","851.87","852.70","846.70","71.08K","-0.35%"
"07/01/2019","851.86","841.15","851.90","841.15","89.35K","1.27%"
"06/28/2019","841.14","832.43","841.14","826.49","86.20K","1.05%"
"06/27/2019","832.38","843.51","843.72","832.38","88.44K","-1.32%"
"06/26/2019","843.49","844.71","846.64","842.77","82.77K","-0.18%"
"06/25/2019","845.04","845.18","846.67","843.19","80.49K","-0.02%"
"06/24/2019","845.18","842.92","849.57","842.92","75.42K","0.28%"
"06/21/2019","842.85","842.29","847.44","842.29","110.38K","0.07%"
"06/20/2019","842.29","833.85","844.87","833.85","92.35K","1.01%"
"06/19/2019","833.85","829.63","834.07","829.63","77.54K","0.73%"
"06/18/2019","827.77","831.60","833.33","825.28","74.24K","-0.56%"
"06/17/2019","832.41","840.85","841.53","830.76","70.82K","-1.01%"
"06/14/2019","840.87","839.32","842.62","838.76","69.60K","0.17%"
"06/13/2019","839.42","844.21","844.21","836.08","66.18K","-0.57%"
"06/12/2019","844.21","850.02","850.02","844.21","66.13K","-0.68%"
"06/11/2019","850.03","850.76","852.76","848.57","61.34K","-0.08%"
"06/10/2019","850.75","847.98","854.88","846.10","85.46K","0.35%"
"06/07/2019","847.80","838.86","847.80","838.86","69.76K","1.01%"
"06/06/2019","839.31","841.30","842.51","830.60","70.36K","-0.23%"
"06/05/2019","841.28","840.94","847.92","840.94","67.85K","0.04%"
"06/04/2019","840.94","840.45","844.87","835.43","72.40K","0.06%"
"06/03/2019","840.45","852.37","852.37","835.98","104.29K","-1.40%"
"05/31/2019","852.37","859.84","860.82","851.40","82.00K","-0.87%"
"05/30/2019","859.84","861.03","864.90","857.65","69.53K","-0.14%"
"05/29/2019","861.04","862.77","864.03","859.33","82.30K","-0.06%"
"05/28/2019","861.59","865.29","867.76","859.90","82.02K","-0.43%"
"05/27/2019","865.28","861.10","865.33","860.56","68.95K","0.47%"
"05/24/2019","861.23","870.52","873.55","861.23","89.62K","-1.16%"
"05/23/2019","871.32","873.00","874.13","867.85","76.56K","-0.19%"
"05/22/2019","873.00","876.25","881.26","872.47","86.34K","-0.37%"
"05/21/2019","876.20","878.26","882.36","875.83","86.41K","-0.13%"
"05/20/2019","877.30","868.38","877.30","866.56","95.28K","1.00%"
"05/17/2019","868.63","871.24","871.99","867.31","83.04K","-0.22%"
"05/16/2019","870.57","870.08","874.49","870.00","92.41K","0.06%"
"05/15/2019","870.07","860.07","870.70","860.07","109.70K","1.19%"
"05/14/2019","859.86","856.16","859.86","849.87","88.85K","0.34%"
"05/13/2019","856.96","851.96","856.96","850.55","84.93K","0.58%"
"05/10/2019","852.03","847.36","853.00","847.26","79.35K","0.56%"
"05/09/2019","847.31","848.65","851.66","844.12","78.89K","-0.16%"
